pi-busy base sample 9 3163.8 ms
control-powershell candidate sample 9 342.6 ms
control-powershell base sample 9 1462.4 ms
copilot-busy candidate sample 9 7409.0 ms
copilot-busy base sample 9 8328.3 ms
copilot-idle base sample 10 7439.8 ms
copilot-idle candidate sample 10 8250.7 ms
pi-progress base sample 10 1799.9 ms
pi-progress candidate sample 10 1795.2 ms
control-bash base sample 10 117.3 ms
control-bash candidate sample 10 481.1 ms
pi-busy base sample 10 4448.2 ms
pi-busy candidate sample 10 4005.4 ms
control-powershell base sample 10 385.3 ms
control-powershell candidate sample 10 661.4 ms
copilot-busy base sample 10 7974.0 ms
copilot-busy candidate sample 10 7638.8 ms
pi-idle base sample 10 2003.9 ms
pi-idle candidate sample 10 4264.0 ms
pi-progress candidate sample 11 2241.2 ms
pi-progress base sample 11 3083.4 ms
control-bash candidate sample 11 71.6 ms
control-bash base sample 11 148.0 ms
pi-busy candidate sample 11 2590.4 ms
pi-busy base sample 11 3730.6 ms
control-powershell candidate sample 11 364.1 ms
control-powershell base sample 11 311.1 ms
copilot-busy candidate sample 11 7740.8 ms
copilot-busy base sample 11 7953.5 ms
pi-idle candidate sample 11 2538.5 ms
pi-idle base sample 11 3202.3 ms
copilot-idle candidate sample 11 7128.0 ms
copilot-idle base sample 11 9851.3 ms
control-bash base sample 12 74.3 ms
control-bash candidate sample 12 88.6 ms
pi-busy base sample 12 2185.7 ms
pi-busy candidate sample 12 3537.1 ms
control-powershell base sample 12 358.3 ms
control-powershell candidate sample 12 396.1 ms
copilot-busy base sample 12 6257.3 ms
copilot-busy candidate sample 12 7034.0 ms
pi-idle base sample 12 3486.6 ms
pi-idle candidate sample 12 4172.4 ms
copilot-idle base sample 12 7121.6 ms
copilot-idle candidate sample 12 6076.1 ms
pi-progress base sample 12 3095.6 ms
pi-progress candidate sample 12 1772.0 ms
pi-busy candidate sample 13 3786.2 ms
pi-busy base sample 13 3236.3 ms
control-powershell candidate sample 13 575.7 ms
control-powershell base sample 13 1948.0 ms
copilot-busy candidate sample 13 7294.9 ms
copilot-busy base sample 13 7705.6 ms
pi-idle candidate sample 13 2494.3 ms
pi-idle base sample 13 3935.7 ms
copilot-idle candidate sample 13 6403.7 ms
copilot-idle base sample 13 5032.6 ms
pi-progress candidate sample 13 1542.4 ms
pi-progress base sample 13 3866.7 ms
control-bash candidate sample 13 423.3 ms
control-bash base sample 13 744.7 ms
control-powershell base sample 14 442.6 ms
control-powershell candidate sample 14 429.1 ms
copilot-busy base sample 14 7106.2 ms
copilot-busy candidate sample 14 6311.4 ms
pi-idle base sample 14 2283.7 ms
pi-idle candidate sample 14 4228.7 ms
copilot-idle base sample 14 6153.2 ms
copilot-idle candidate sample 14 6286.0 ms
pi-progress base sample 14 3375.8 ms
pi-progress candidate sample 14 2198.5 ms
control-bash base sample 14 180.9 ms
control-bash candidate sample 14 432.8 ms
pi-busy base sample 14 3842.7 ms
pi-busy candidate sample 14 3600.0 ms
copilot-busy candidate sample 15 6887.0 ms
copilot-busy base sample 15 7155.6 ms
pi-idle candidate sample 15 4086.9 ms
pi-idle base sample 15 4405.3 ms
copilot-idle candidate sample 15 7047.8 ms
copilot-idle base sample 15 6256.2 ms
pi-progress candidate sample 15 1632.3 ms
pi-progress base sample 15 3827.0 ms
control-bash candidate sample 15 492.0 ms
control-bash base sample 15 334.3 ms
pi-busy candidate sample 15 4579.6 ms
pi-busy base sample 15 2468.8 ms
control-powershell candidate sample 15 648.8 ms
control-powershell base sample 15 542.9 ms
pi-idle base sample 16 2211.3 ms
pi-idle candidate sample 16 2272.1 ms
copilot-idle base sample 16 5430.6 ms
copilot-idle candidate sample 16 10605.2 ms
pi-progress base sample 16 3253.8 ms
pi-progress candidate sample 16 3335.6 ms
control-bash base sample 16 72.3 ms
control-bash candidate sample 16 86.6 ms
pi-busy base sample 16 1739.7 ms
pi-busy candidate sample 16 5533.9 ms
control-powershell base sample 16 519.4 ms
control-powershell candidate sample 16 449.3 ms
copilot-busy base sample 16 7490.0 ms
copilot-busy candidate sample 16 8617.3 ms
copilot-idle candidate sample 17 8276.3 ms
copilot-idle base sample 17 6854.7 ms
pi-progress candidate sample 17 3027.3 ms
pi-progress base sample 17 2607.3 ms
control-bash candidate sample 17 62.4 ms
control-bash base sample 17 418.2 ms
pi-busy candidate sample 17 3170.5 ms
pi-busy base sample 17 3488.6 ms
control-powershell candidate sample 17 289.5 ms
control-powershell base sample 17 388.7 ms
copilot-busy candidate sample 17 4383.0 ms
copilot-busy base sample 17 5873.5 ms
pi-idle candidate sample 17 3623.3 ms
pi-idle base sample 17 1651.5 ms
pi-progress base sample 18 2156.5 ms
pi-progress candidate sample 18 2931.2 ms
control-bash base sample 18 104.1 ms
control-bash candidate sample 18 64.0 ms
pi-busy base sample 18 1814.5 ms
pi-busy candidate sample 18 3302.7 ms
control-powershell base sample 18 294.1 ms
control-powershell candidate sample 18 710.6 ms
copilot-busy base sample 18 6389.9 ms
copilot-busy candidate sample 18 7353.4 ms
pi-idle base sample 18 1906.3 ms
pi-idle candidate sample 18 1957.0 ms
copilot-idle base sample 18 6221.0 ms
copilot-idle candidate sample 18 6151.5 ms
control-bash candidate sample 19 186.1 ms
control-bash base sample 19 73.5 ms
pi-busy candidate sample 19 1490.4 ms
pi-busy base sample 19 1952.0 ms
control-powershell candidate sample 19 337.2 ms
control-powershell base sample 19 316.8 ms
copilot-busy candidate sample 19 7415.1 ms
copilot-busy base sample 19 3403.0 ms
pi-idle candidate sample 19 2287.1 ms
pi-idle base sample 19 3611.0 ms
copilot-idle candidate sample 19 3142.0 ms
copilot-idle base sample 19 7354.2 ms
pi-progress candidate sample 19 3720.8 ms
pi-progress base sample 19 2308.9 ms
pi-busy base sample 20 3502.4 ms
pi-busy candidate sample 20 3540.5 ms
control-powershell base sample 20 417.7 ms
control-powershell candidate sample 20 776.4 ms
copilot-busy base sample 20 8033.2 ms
copilot-busy candidate sample 20 26115.2 ms
pi-idle base sample 20 5282.5 ms
pi-idle candidate sample 20 8007.2 ms
copilot-idle base sample 20 6928.4 ms
copilot-idle candidate sample 20 5162.9 ms
pi-progress base sample 20 2559.3 ms
pi-progress candidate sample 20 1655.5 ms
control-bash base sample 20 80.7 ms
control-bash candidate sample 20 501.8 ms
