control-bash base warmup 159.6 ms
control-bash candidate warmup 69.8 ms
pi-busy base warmup 4826.0 ms
pi-busy candidate warmup 2249.8 ms
control-powershell base warmup 698.7 ms
control-powershell candidate warmup 301.7 ms
copilot-busy base warmup 6280.0 ms
copilot-busy candidate warmup 6136.0 ms
pi-idle base warmup 3926.9 ms
pi-idle candidate warmup 2683.2 ms
copilot-idle base warmup 5673.8 ms
copilot-idle candidate warmup 7890.7 ms
pi-progress base warmup 2054.0 ms
pi-progress candidate warmup 2658.9 ms
pi-busy candidate warmup 2986.4 ms
pi-busy base warmup 3687.6 ms
control-powershell candidate warmup 480.1 ms
control-powershell base warmup 410.9 ms
copilot-busy candidate warmup 6612.0 ms
copilot-busy base warmup 9261.5 ms
pi-idle candidate warmup 3286.8 ms
pi-idle base warmup 3869.3 ms
copilot-idle candidate warmup 5806.1 ms
copilot-idle base warmup 9231.1 ms
pi-progress candidate warmup 1991.5 ms
pi-progress base warmup 2787.3 ms
control-bash candidate warmup 492.8 ms
control-bash base warmup 202.2 ms
control-powershell base warmup 401.9 ms
control-powershell candidate warmup 748.9 ms
copilot-busy base warmup 8966.4 ms
copilot-busy candidate warmup 7286.5 ms
pi-idle base warmup 4758.8 ms
pi-idle candidate warmup 2370.4 ms
copilot-idle base warmup 9731.5 ms
copilot-idle candidate warmup 7350.8 ms
pi-progress base warmup 2907.3 ms
pi-progress candidate warmup 3066.4 ms
control-bash base warmup 325.3 ms
control-bash candidate warmup 219.0 ms
pi-busy base warmup 4470.3 ms
pi-busy candidate warmup 4477.8 ms
copilot-busy candidate sample 1 7683.2 ms
copilot-busy base sample 1 7439.0 ms
pi-idle candidate sample 1 3274.0 ms
pi-idle base sample 1 1937.4 ms
copilot-idle candidate sample 1 5435.6 ms
copilot-idle base sample 1 8405.6 ms
pi-progress candidate sample 1 2306.8 ms
pi-progress base sample 1 3183.5 ms
control-bash candidate sample 1 250.5 ms
control-bash base sample 1 116.2 ms
pi-busy candidate sample 1 2733.0 ms
pi-busy base sample 1 6508.8 ms
control-powershell candidate sample 1 347.8 ms
control-powershell base sample 1 615.2 ms
pi-idle base sample 2 2088.9 ms
pi-idle candidate sample 2 4431.8 ms
copilot-idle base sample 2 7309.0 ms
copilot-idle candidate sample 2 8784.8 ms
pi-progress base sample 2 2956.0 ms
pi-progress candidate sample 2 4837.5 ms
control-bash base sample 2 111.2 ms
control-bash candidate sample 2 134.2 ms
pi-busy base sample 2 3003.5 ms
pi-busy candidate sample 2 3582.1 ms
control-powershell base sample 2 771.8 ms
control-powershell candidate sample 2 392.3 ms
copilot-busy base sample 2 7690.8 ms
copilot-busy candidate sample 2 7597.6 ms
copilot-idle candidate sample 3 7571.1 ms
copilot-idle base sample 3 8424.2 ms
pi-progress candidate sample 3 4494.1 ms
pi-progress base sample 3 2027.7 ms
control-bash candidate sample 3 119.5 ms
control-bash base sample 3 222.0 ms
pi-busy candidate sample 3 4591.8 ms
pi-busy base sample 3 2882.0 ms
control-powershell candidate sample 3 502.0 ms
control-powershell base sample 3 460.7 ms
copilot-busy candidate sample 3 7360.9 ms
copilot-busy base sample 3 7872.9 ms
pi-idle candidate sample 3 4164.4 ms
pi-idle base sample 3 4573.1 ms
pi-progress base sample 4 2105.4 ms
pi-progress candidate sample 4 1583.9 ms
control-bash base sample 4 132.8 ms
control-bash candidate sample 4 477.1 ms
pi-busy base sample 4 3409.9 ms
pi-busy candidate sample 4 3120.9 ms
control-powershell base sample 4 1662.3 ms
control-powershell candidate sample 4 517.3 ms
copilot-busy base sample 4 8639.1 ms
copilot-busy candidate sample 4 6028.2 ms
pi-idle base sample 4 3608.7 ms
